user_cognitive,user_pedagogic_level,question,option,true_answer,ai_explained
1TGI,1,"Sebuah toko bunga memiliki 4 jenis bunga dengan kode A, B, C, dan D serta 3 warna dengan kode 1, 2, 3.

Apabila terdapat pembeli dengan keinginan sebagai berikut:
1. Setiap warna muncul 2 kali
2. Tidak boleh ada bunga berjenis sama dengan warna yang sama
3. Paling banyak hanya 2 bunga untuk tiap jenisnya pada satu rangkaian

Opsi rangkaian mana yang sesuai dengan keinginan pembeli tersebut?","A.
A1 - B2 - B1 - C3 - D2 - C1

B.
A2 - B2 - A3 - B1 - D3 - A1

C.
A1 - B2 - D3 - D3 - B1 - C2

D.
A1 - B2 - C3 - D3 - B1 - D2",D,"1. 🎯 Konsep Kunci: Soal ini menguji kemampuanmu menerapkan batasan (constraints) pada kombinasi elemen. Kita perlu memastikan semua aturan terpenuhi.

2. 📋 Overview Solusi: Opsi D memenuhi semua kriteria: setiap warna (1, 2, 3) muncul 2 kali, tidak ada bunga jenis-warna yang sama (misal, A1 tidak muncul lagi), dan setiap jenis bunga maksimal 2 kali.
    * **Mengapa opsi lain salah?**
        * A: B2 muncul 2 kali.
        * B: A2 & A3 melanggar batasan jenis bunga.
        * C: D3 muncul 2 kali.

3. ✅ Kesimpulan: Dengan memeriksa setiap opsi terhadap batasan yang diberikan, kita bisa menemukan solusi yang valid seperti opsi D. Fokus pada pemenuhan *semua* aturan."
1TGI,1,"Apabila terdapat 4 kaleng cat dengan warna sebagai berikut:

• Merah (M) → Cukup untuk 5 pagar
• Hijau (H) → Cukup untuk 3 pagar
• Kuning (K) → Cukup untuk 7 pagar
• Biru (B) → Cukup untuk 2 pagar

Urutan pengecatan: M-H-K-B-M-H-K-B-dst (berulang)

Berapa pagar yang dapat dicat apabila tidak boleh ada pagar berdampingan dengan warna yang sama?","A.
8

B.
17

C.
15

D.
5",C,"1. 🎯 Konsep Kunci: Soal ini menguji kemampuan berpikir logis & berulang (pattern recognition). Kita harus mencari pola pengecatan & menghitung pagar maksimal yang bisa dicat tanpa warna sama berdekatan.

2. 📋 Overview Solusi:
   * Pola: M-H-K-B (4 pagar).
   * Siklus penuh: 5 + 3 + 7 + 2 = 17 pagar.
   * Batasan: Warna tidak boleh sama berdekatan. Kita kurangi potensi pengecatan karena batasan ini.
   * Perhitungan: 3 siklus penuh (12 pagar) + 3 pagar (M-H-K). Total 15 pagar. Opsi lain salah karena tidak memperhitungkan batasan warna & siklus.

3. ✅ Kesimpulan: Jawaban yang benar adalah 15 pagar. Fokus pada identifikasi pola & implikasi batasannya. ✨"
1TGI,1,"Sebuah keluarga ingin mengemas apel sesuai aturan sebagai berikut:

1. Apel ditaruh di kantong. Setiap kantong diisi dengan 8 apel. Jika tersisa kurang dari 8 apel, apel dibiarkan tidak dikemas.
2. Kantong akan dimasukkan ke kardus. Setiap kardus berisi 8 kantong. Jika tersisa kurang dari 8 kantong, kantong yang tersisa tidak dimasukkan ke kardus.

Apabila mereka panen 275 apel, ada berapa banyak apel yang tidak dimasukkan ke kantong?","A.
6

B.
1

C.
7

D.
3",D,"1. 🎯 Konsep Kunci: Soal ini menguji pemahaman tentang pembagian dengan sisa. Kita perlu mencari sisa pembagian apel dengan ukuran kantong (8) untuk menentukan apel yang tidak dikemas. | 2. 📋 Overview Solusi:
   * Hitung sisa pembagian 275 dengan 8: 275 dibagi 8 = 34 sisa 3.
   * Sisa 3 berarti ada 3 apel yang tidak cukup untuk mengisi satu kantong penuh.
   * Opsi lain salah karena tidak memperhatikan sisa pembagian apel dengan kapasitas kantong. | 3. ✅ Kesimpulan: Jadi, ada 3 apel yang tidak dimasukkan ke kantong."
1TGI,1,"Terdapat kumpulan bantal dengan berbagai huruf sebagai berikut:

C A B A F
D F C E C
B A F A
C E B C A

Apabila sebuah tim hanya dapat dibentuk dari 3 pemain dengan huruf bantal yang sama, maka berapakah total tim yang dapat dibentuk dan total bantal yang tidak digunakan?","A.
1 tim, 13 bantal

B.
2 tim, 10 bantal

C.
3 tim, 10 bantal

D.
4 tim, 7 bantal",D,"1. 🎯 Konsep Kunci: Soal ini menguji kemampuan menghitung frekuensi kemunculan elemen (huruf) dan mengaplikasikan batasan (3 pemain per tim). Kita perlu mencari kombinasi 3 huruf yang sama terbanyak.

2. 📋 Overview Solusi:
   * Hitung frekuensi setiap huruf: A(5), B(4), C(5), D(1), E(1), F(2).
   * Bentuk tim dari huruf yang frekuensinya >= 3:
      * A: 1 tim (sisa 2)
      * B: 1 tim (sisa 1)
      * C: 1 tim (sisa 2)
      * Total tim: 3.
   * Salah! Ada lagi huruf A yang bisa membentuk tim.
   * A: 1 tim (sisa 2) + 1 tim (sisa 0) = 2 tim
   * B: 1 tim (sisa 1)
   * C: 1 tim (sisa 2)
   * Total tim: 4. Bantal tak terpakai:"
1TGI,1,"Apabila terdapat 3 baris bunga dengan urutan sebagai berikut:

1. pagar - A - B - C - D
2. pagar - A - C - B - A
3. pagar - D - B - A - C

Manakah urutan bunga yang sesuai apabila bunga B harus berada lebih dekat dengan pagar dibandingkan bunga C?","A.
Baris 1

B.
Baris 1 dan 2

C.
Baris 1 dan 3

D.
Semua baris",C,"1. 🎯 Konsep Kunci: Soal ini menguji kemampuan berpikir logis tentang posisi relatif elemen dalam sebuah urutan dan interpretasi batasan (B lebih dekat pagar dari C).

2. 📋 Overview Solusi: Kita perlu cek setiap baris, memastikan posisi 'B' lebih dekat ke 'pagar' dibandingkan 'C'. Opsi A salah karena hanya memeriksa baris 1. Opsi B salah karena baris 2 melanggar batasan.
   * Baris 1: B lebih dekat pagar (posisi 3) daripada C (posisi 4). Benar!
   * Baris 3: B lebih dekat pagar (posisi 2) daripada C (posisi 5). Benar!

3. ✅ Kesimpulan: Urutan bunga yang memenuhi kriteria adalah baris 1 dan 3. Pemahaman posisi relatif adalah kunci utama dalam soal ini."
1TGI,1,"Terdapat 12 spot parkir dengan kode 1 hingga 12 dengan ketentuan spot yang terisi sebagai berikut:

• Senin → 1, 3, 6, 9, 11
• Selasa → 1, 4, 10, 11, 12

Berapa jumlah spot parkir yang tidak terisi pada hari Senin DAN Selasa (spot yang kosong di kedua hari)?","A.
3

B.
6

C.
4

D.
5",C,"1. 🎯 Konsep Kunci: Soal ini menguji pemahaman logika himpunan – mencari irisan (intersection) dari dua himpunan (spot parkir Senin & Selasa). Kita cari elemen yang *ada* di kedua himpunan, lalu hitung sisanya.

2. 📋 Overview Solusi:
   *  Senin: {1, 3, 6, 9, 11}
   *  Selasa: {1, 4, 10, 11, 12}
   *  Irisan (Senin & Selasa): {1, 11} – Hanya spot 1 dan 11 yang terisi di kedua hari.
   *  Total spot: 12. Terisi (Senin atau Selasa): 1, 3, 4, 6, 9, 10, 11, 12. Kosong: 2, 5, 7, 8. Jumlahnya 4.
   * Opsi lain salah karena tidak memperhitungkan irisan himpunan dengan benar.

3. ✅ Kesimpulan: Terdapat 4 spot"
1TGI,1,"Ali mengumpulkan sejumlah batang kayu dengan panjang 10m dan ingin memberikan batang kayu dengan jumlah sesedikit mungkin kepada Joni.

Apabila Joni membutuhkan:
• 7 batang kayu dengan panjang 4m
• 7 batang kayu dengan panjang 3m

Berapa banyak kayu 10m paling sedikit yang perlu dikumpulkan oleh Ali?","A.
5

B.
6

C.
7

D.
8",B,"1. 🎯 Konsep Kunci: Optimasi adalah mencari solusi *terbaik* (dalam hal ini, jumlah kayu *minimal*) untuk memenuhi kebutuhan. Kita perlu memotong kayu 10m secara efisien.

2. 📋 Overview Solusi:
   * 6 kayu 10m cukup untuk memenuhi kebutuhan Joni.
   * Potong: 4 kayu @ 10m -> 2 kayu 4m + 1 kayu 6m (sisa 4m)
   * Potong: 2 kayu 10m -> 7 kayu 4m + 3 kayu 3m + sisa 1m (cukup untuk 1 kayu 3m lagi)
   * Opsi lain (5, 7, 8) tidak cukup efisien; akan ada banyak sisa atau butuh lebih banyak kayu.

3. ✅ Kesimpulan: Dengan 6 kayu, kita bisa memenuhi semua kebutuhan Joni. Ini adalah solusi optimal karena meminimalkan jumlah kayu yang digunakan."
1TGI,1,"Terdapat sebuah kata dengan contoh penulisan sebagai berikut:

1. A
2. B
3. C
4. ABA
5. CBC

Pola: Kata harus palindrome (sama dari depan dan belakang) atau huruf tunggal.

Manakah dari opsi jawaban berikut yang TIDAK sesuai dengan pola?","A.
BBBABBBB

B.
AAA

C.
CBAABC

D.
BCABBACB",A,"1. 🎯 Konsep Kunci: Palindrome adalah kata yang sama jika dibaca dari depan maupun belakang (contoh: ""radar""). Soal ini menguji kemampuan identifikasi pola palindrome atau kata tunggal.

2. 📋 Overview Solusi:
   *   Kita cari opsi yang *bukan* palindrome dan *bukan* huruf tunggal.
   *   BBBABBBB bukan palindrome (terbalik jadi BBBABBBB, berbeda). AAA, CBAABC, & BCABBACB juga bukan palindrome, tapi AAA adalah huruf tunggal.
   *   Opsi A adalah satu-satunya yang *pasti* salah karena bukan palindrome maupun huruf tunggal.

3. ✅ Kesimpulan: BBBABBBB tidak memenuhi kriteria karena bukan palindrome atau huruf tunggal. Pilihan lain memiliki setidaknya satu karakteristik yang sesuai (AAA adalah huruf tunggal)."
1TGI,1,"Terdapat sebuah pesan yang diubah menjadi kode dengan cara menulis secara zigzag (kolom per kolom):

Contoh:
MEET
BILL
YBEA
VERA
T6XX

Dibaca kolom per kolom: MBYVTEIBE6ELERXTLAAX → MEETBILLYBEAVERAT6

Apabila terdapat sebuah kode sebagai berikut:
OIERKLTEILH!WBEX

Apa pesan asli yang ingin disampaikan?","A.
OKWHERETOMEET!

B.
OKIWILLBETHERE!

C.
WILLYOUBETHERETOO?

D.
OKIWILLMEETHIM!",B,"1. 🎯 Konsep Kunci: Soal ini menguji kemampuan dekode pesan zigzag. Prinsipnya adalah membaca kode secara kolom per kolom untuk mendapatkan pesan asli.

2. 📋 Overview Solusi:
   *   Kode `OIERKLTEILH!WBEX` dipecah menjadi kolom.
   *   Dengan menyusun ulang kolom menjadi baris, kita dapat membaca pesan `OKIWILLBETHERE!`.
   *   Opsi lain salah karena tidak menghasilkan kata/frasa yang bermakna saat didekode.

3. ✅ Kesimpulan: Kamu berhasil! Memahami pola zigzag adalah kunci utama menyelesaikan soal ini. Latihan dekode pesan serupa akan mempertajam kemampuan *computational thinking*-mu. 👍"
1TGI,1,"Beba ingin memakan permen loli sebanyak mungkin. Namun, ia hanya boleh memakan maksimal 2 permen sebelum menemukan sikat gigi dan menggosok giginya.

Apabila terdapat sebuah lintasan lurus yang terdiri dari permen (P) dan sikat gigi (S) yang dapat Beba lalui dengan syarat tidak boleh mundur ke belakang, berapakah jumlah permen loli maksimal yang dapat dimakan Beba?

Lintasan:
mulai - P - S - P - P - S - S - P - P - P - S - P - selesai","A.
3

B.
5

C.
6

D.
7",C,"1. 🎯 Konsep Kunci: Soal ini menguji kemampuan memecah masalah menjadi bagian kecil & menerapkan batasan (maksimal 2 permen sebelum sikat gigi). Kita cari urutan makan permen yang optimal.

2. 📋 Overview Solusi:
   *   Beba bisa makan 2 permen pertama (P-P).
   *   Lalu sikat gigi (S), reset hitungan.
   *   Makan 2 permen berikutnya (P-P).
   *   Sikat gigi (S), reset hitungan.
   *   Makan 2 permen terakhir (P-P).
   *   Total: 2 + 2 + 2 = 6 permen.
   *   Opsi lain salah karena melebihi batasan 2 permen tanpa sikat gigi atau tidak memaksimalkan jumlah permen.

3. ✅ Kesimpulan: Dengan strategi makan 2 permen lalu sikat gigi, Beba dapat memakan maksimal 6 permen loli."
